months_as_customer,policy_deductable,policy_annual_premium,umbrella_limit,incident_type,collision_type,incident_severity,authorities_contacted,property_damage,total_claim_amount,fraud_reported,injury_share,vehicle_share,property_share,claim_to_premium,claim_to_deductible,has_umbrella_policy
270,1000,1038.09,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NO,89400,0,0.16666666666666666,0.75,0.08333333333333333,86.11970060399388,89.4,0
319,500,1307.11,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,NO,59730,0,0.18181818181818182,0.6363636363636364,0.18181818181818182,45.69623061563296,119.46,0
194,1000,1489.24,6000000,Vehicle Theft,No Collision,Minor Damage,Police,YES,8060,0,0.15384615384615385,0.6923076923076923,0.15384615384615385,5.4121565362198165,8.06,1
227,500,976.67,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,Not recorded,72200,1,0.2,0.7,0.1,73.92466237316596,144.4,0
137,2000,1340.43,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NO,50800,0,0.2,0.6,0.2,37.89828637079146,25.4,0
244,2000,1267.81,5000000,Vehicle Theft,No Collision,Trivial Damage,Police,Not recorded,6600,0,0.1,0.7,0.2,5.205827371609311,3.3,1
78,1000,1234.2,6000000,Vehicle Theft,No Collision,Minor Damage,Police,YES,7500,0,0.1,0.7,0.2,6.076810889645114,7.5,1
200,2000,1318.06,0,Vehicle Theft,No Collision,Trivial Damage,Police,NO,6490,0,0.18181818181818182,0.6363636363636364,0.18181818181818182,4.923903312444047,3.245,0
284,2000,769.95,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,Not recorded,60940,1,0.09090909090909091,0.7272727272727273,0.18181818181818182,79.14799662315734,30.47,0
275,2000,1514.72,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,YES,58300,0,0.1,0.7,0.2,38.488961656279706,29.15,0
153,1000,873.64,4000000,Multi-vehicle Collision,Front Collision,Minor Damage,Other,NO,68400,0,0.16666666666666666,0.6666666666666666,0.16666666666666666,78.29311844695756,68.4,1
134,500,1612.43,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,Not recorded,64240,0,0.18181818181818182,0.6363636363636364,0.18181818181818182,39.84048919953114,128.48,0
31,2000,1318.24,9000000,Parked Car,No Collision,Trivial Damage,Police,NO,4700,0,0.2,0.7,0.1,3.5653598737710888,2.35,1
41,1000,1226.83,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,YES,45120,1,0.0,0.875,0.125,36.77771166339265,45.12,0
127,2000,1326.44,5000000,Multi-vehicle Collision,Front Collision,Total Loss,Fire,YES,66950,0,0.15384615384615385,0.6923076923076923,0.15384615384615385,50.473447724736886,33.475,1
61,2000,1136.83,4000000,Single Vehicle Collision,Side Collision,Major Damage,Police,NO,98340,1,0.09090909090909091,0.7272727272727273,0.18181818181818182,86.50369888197883,49.17,1
207,2000,1322.78,0,Parked Car,No Collision,Trivial Damage,Police,NO,5900,0,0.1,0.8,0.1,4.460303300624442,2.95,0
219,1000,1483.25,0,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NO,70680,0,0.08333333333333333,0.75,0.16666666666666666,47.65211528737569,70.68,0
271,500,1515.3,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NO,93720,0,0.18181818181818182,0.7272727272727273,0.09090909090909091,61.84913878439913,187.44,0
80,2000,1075.18,5000000,Vehicle Theft,No Collision,Minor Damage,Police,NO,6930,0,0.18181818181818182,0.7272727272727273,0.09090909090909091,6.445432392715638,3.465,1
325,1000,1690.27,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,YES,72930,1,0.09090909090909091,0.8181818181818182,0.09090909090909091,43.146952853686095,72.93,0
29,2000,1352.83,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,YES,64890,1,0.1111111111111111,0.7777777777777778,0.1111111111111111,47.96611547644567,32.445,0
295,1000,1148.73,0,Parked Car,No Collision,Trivial Damage,Police,Not recorded,5400,0,0.16666666666666666,0.6666666666666666,0.16666666666666666,4.700843540257502,5.4,0
239,1000,969.5,0,Vehicle Theft,No Collision,Trivial Damage,Police,NO,5600,0,0.125,0.75,0.125,5.776173285198556,5.6,0
269,500,1463.82,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,YES,79300,0,0.2,0.6,0.2,54.173327321665234,158.6,0
80,1000,1474.17,0,Single Vehicle Collision,Side Collision,Major Damage,Police,YES,52800,0,0.2,0.7,0.1,35.81676468792609,52.8,0
279,500,1497.35,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,Not recorded,28800,0,0.0,0.875,0.125,19.23398003138879,57.6,0
165,1000,1427.14,0,Parked Car,No Collision,Minor Damage,Police,NO,2970,0,0.1111111111111111,0.7777777777777778,0.1111111111111111,2.0810852474179127,2.97,0
350,500,1495.1,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,NO,93480,0,0.16666666666666666,0.75,0.08333333333333333,62.52424586984149,186.96,0
295,500,1141.62,0,Vehicle Theft,No Collision,Minor Damage,Police,YES,4320,0,0.1111111111111111,0.7777777777777778,0.1111111111111111,3.784096284227677,8.64,0
464,1000,1125.37,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,Not recorded,79800,1,0.08333333333333333,0.6666666666666666,0.25,70.9100118183353,79.8,0
118,2000,1207.36,0,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NO,74200,0,0.1,0.7,0.2,61.45640074211504,37.1,0
298,2000,1338.5,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,Not recorded,70590,1,0.15384615384615385,0.6923076923076923,0.15384615384615385,52.73813970862906,35.295,0
87,1000,1074.07,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NO,60940,1,0.09090909090909091,0.7272727272727273,0.18181818181818182,56.737456590352586,60.94,0
261,500,1337.56,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,Not recorded,74700,0,0.1,0.7,0.2,55.847961960584946,149.4,0
453,500,1298.91,6000000,Single Vehicle Collision,Front Collision,Major Damage,Fire,YES,70000,1,0.2,0.7,0.1,53.89133966171636,140.0,1
210,500,1222.75,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,Not recorded,81070,0,0.18181818181818182,0.6363636363636364,0.18181818181818182,66.3013698630137,162.14,0
168,1000,1059.52,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,Not recorded,57720,0,0.25,0.5833333333333334,0.16666666666666666,54.47749924494111,57.72,0
390,2000,1124.38,0,Vehicle Theft,No Collision,Minor Damage,Police,YES,7080,0,0.16666666666666666,0.6666666666666666,0.16666666666666666,6.2968035717462065,3.54,0
258,1000,1110.37,10000000,Multi-vehicle Collision,Side Collision,Total Loss,Other,NO,47700,1,0.1,0.7,0.2,42.958653421832366,47.7,1
107,2000,1374.22,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NO,51260,0,0.18181818181818182,0.6363636363636364,0.18181818181818182,37.30115993072434,25.63,0
225,2000,1103.58,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,Not recorded,70400,1,0.09090909090909091,0.7272727272727273,0.18181818181818182,63.79238478406641,35.2,0
164,2000,1269.76,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NO,90000,0,0.2,0.7,0.1,70.87953629032258,45.0,0
245,500,964.79,8000000,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,Not recorded,72820,0,0.18181818181818182,0.7272727272727273,0.09090909090909091,75.47756506597291,145.64,1
255,2000,1167.3,4000000,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NO,69300,0,0.2,0.6,0.2,59.367771781033156,34.65,1
206,500,1625.45,4000000,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NO,76560,1,0.16666666666666666,0.6666666666666666,0.16666666666666666,47.100802854594114,153.12,1
203,500,1394.43,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,Not recorded,55440,1,0.0,0.8888888888888888,0.1111111111111111,39.7581807620318,110.88,0
22,2000,1053.24,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,YES,77130,0,0.1111111111111111,0.6666666666666666,0.2222222222222222,73.231172382363,38.565,0
211,500,1040.75,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,YES,42000,0,0.16666666666666666,0.6666666666666666,0.16666666666666666,40.35551285130915,84.0,0
206,1000,1302.4,6000000,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NO,36300,0,0.09090909090909091,0.6363636363636364,0.2727272727272727,27.87162162162162,36.3,1
166,2000,1588.55,0,Single Vehicle Collision,Side Collision,Total Loss,Other,NO,40320,0,0.14285714285714285,0.7142857142857143,0.14285714285714285,25.381637342230338,20.16,0
165,500,1399.26,0,Parked Car,No Collision,Minor Damage,Police,Not recorded,3960,0,0.08333333333333333,0.75,0.16666666666666666,2.8300673212984004,7.92,0
274,2000,1352.31,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,YES,63840,1,0.16666666666666666,0.6666666666666666,0.16666666666666666,47.208110566364226,31.92,0
81,1000,1139.0,6000000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,Not recorded,44730,1,0.1111111111111111,0.7777777777777778,0.1111111111111111,39.271290605794555,44.73,1
280,1000,1397.67,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,YES,84720,0,0.16666666666666666,0.6666666666666666,0.16666666666666666,60.615166670244044,84.72,0
194,500,823.17,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,Not recorded,61500,0,0.1,0.7,0.2,74.7111775210467,123.0,0
112,500,965.13,0,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,Not recorded,51000,0,0.16666666666666666,0.6666666666666666,0.16666666666666666,52.842622237418794,102.0,0
24,1000,1922.84,0,Single Vehicle Collision,Side Collision,Total Loss,Police,Not recorded,46800,0,0.1,0.7,0.2,24.338998564623164,46.8,0
93,2000,1624.82,0,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,Not recorded,78120,0,0.2222222222222222,0.6666666666666666,0.1111111111111111,48.07917184672764,39.06,0
171,2000,1277.25,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,NO,69200,1,0.2,0.7,0.1,54.1788999804267,34.6,0
200,1000,1439.34,0,Vehicle Theft,No Collision,Minor Damage,Police,Not recorded,3690,0,0.1111111111111111,0.7777777777777778,0.1111111111111111,2.5636750177164536,3.69,0
120,1000,1281.27,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NO,65500,0,0.1,0.8,0.1,51.12115323077884,65.5,0
325,500,1348.83,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,Not recorded,76120,0,0.18181818181818182,0.7272727272727273,0.09090909090909091,56.434094733954616,152.24,0
124,1000,1198.15,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,NO,73560,0,0.16666666666666666,0.6666666666666666,0.16666666666666666,61.39465008554855,73.56,0
211,2000,1221.22,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,YES,52030,0,0.18181818181818182,0.7272727272727273,0.09090909090909091,42.604936047559,26.015,0
287,2000,968.74,0,Vehicle Theft,No Collision,Trivial Damage,Police,Not recorded,5170,0,0.09090909090909091,0.7272727272727273,0.18181818181818182,5.336829283399054,2.585,0
122,1000,1220.71,0,Parked Car,No Collision,Minor Damage,Police,Not recorded,8190,0,0.23076923076923078,0.6153846153846154,0.15384615384615385,6.709210213728076,8.19,0
22,2000,1238.62,6000000,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,Not recorded,70800,1,0.1,0.7,0.2,57.160388173935516,35.4,1
106,2000,1320.75,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,Not recorded,45630,0,0.1111111111111111,0.7777777777777778,0.1111111111111111,34.54855195911414,22.815,0
398,500,990.98,0,Single Vehicle Collision,Front Collision,Major Damage,Police,YES,99320,1,0.07692307692307693,0.7692307692307693,0.15384615384615385,100.22402066641102,198.64,0
214,500,1398.51,4000000,Multi-vehicle Collision,Side Collision,Major Damage,Fire,Not recorded,64000,1,0.2,0.7,0.1,45.76299061143646,128.0,1
209,500,1355.08,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,Not recorded,47300,0,0.1,0.8,0.1,34.905688225049445,94.6,0
82,1000,1384.51,0,Single Vehicle Collision,Rear Collision,Major Damage,Other,NO,71680,1,0.125,0.75,0.125,51.7728293764581,71.68,0
193,500,847.03,0,Single Vehicle Collision,Side Collision,Major Damage,Other,Not recorded,112320,1,0.15384615384615385,0.6923076923076923,0.15384615384615385,132.60451223687474,224.64,0
134,1000,1000.06,0,Single Vehicle Collision,Side Collision,Total Loss,Other,Not recorded,82720,0,0.09090909090909091,0.7272727272727273,0.18181818181818182,82.71503709777414,82.72,0
288,1000,1046.71,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,Not recorded,48060,0,0.2222222222222222,0.6666666666666666,0.1111111111111111,45.915296500463356,48.06,0
104,500,1158.03,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,YES,63570,1,0.15384615384615385,0.6923076923076923,0.15384615384615385,54.894950908007566,127.14,0
431,1000,1372.27,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NO,63240,0,0.16666666666666666,0.6666666666666666,0.16666666666666666,46.084225407536415,63.24,0
101,1000,1053.04,7000000,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NO,54240,1,0.16666666666666666,0.6666666666666666,0.16666666666666666,51.5080148902226,54.24,1
375,1000,1275.39,0,Single Vehicle Collision,Front Collision,Major Damage,Police,YES,37280,1,0.0,1.0,0.0,29.23027466108406,37.28,0
461,2000,1402.75,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,Not recorded,72100,0,0.1,0.7,0.2,51.39903760470504,36.05,0
428,500,1344.36,7000000,Parked Car,No Collision,Minor Damage,Police,Not recorded,6500,0,0.2,0.7,0.1,4.835014430658455,13.0,1
45,1000,1197.71,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,Not recorded,78240,0,0.16666666666666666,0.6666666666666666,0.16666666666666666,65.32466122851108,78.24,0
136,500,1203.24,0,Vehicle Theft,No Collision,Minor Damage,Police,Not recorded,6200,0,0.2,0.7,0.1,5.152754230245005,12.4,0
216,1000,1152.4,0,Parked Car,No Collision,Minor Damage,Police,YES,6160,0,0.09090909090909091,0.6363636363636364,0.2727272727272727,5.345366192294342,6.16,0
278,2000,1142.62,7000000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,Not recorded,76050,0,0.15384615384615385,0.6923076923076923,0.15384615384615385,66.55756069384398,38.025,1
295,1000,1332.07,0,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NO,86060,0,0.15384615384615385,0.6923076923076923,0.15384615384615385,64.60621438813276,86.06,0
112,1000,1166.54,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,YES,107900,1,0.1,0.7,0.2,92.49575668215407,107.9,0
